8a,BREGResult
"Dawson Group, Inc.",97862D1
Dawson Technical LLC,273150D1
"Dawson Federal, Inc.",223312D1
"Dawson Solutions, LLC",Not in search
Dawson Enterprises LLC,62908C5
Dawson Global,106699C5
"Pelatron, Inc.",51849F1
Pacific LED and Energy Corporation,Withdrawn
"Pelatron Technologies, LLC",96991C6
Ke`aki Technologies LLC (formerly Akimeka Technologies LLC),132803C6
"Laulima Government Solutions, LLC",183969C5
"Kupono Government Services, LLC",206542C6
"Kapili Services, LLC",123605C6
"Po`okela Solutions, LLC",Not in search
"Kikaha Solutions, LLC",Not in search
"Pololei Solutions, LLC",175636C5
Kukulu,Several filings
Kuhana Associates LLC,1339C5
Kili LLC,8248C5
"Akahi Associates, LLC",58265C5
"Kako`o Services, LLC",160674C5
"GSI Pacific, Inc.",299535D1
"GSI North America, Inc.",75541F1
"GSI Global, Inc.",292129D1
"GSI Americas, Inc.",82746D1
"GSI Atlantic, Inc.",Not in search
"GSI Technologies, Inc.",88754F1
Kalino LLC,8447C5
Pohaku Pacific LLC,123738C5
"Soft Power Solutions, LLC",132160C6
"Interagency Readiness Solutions, LLC",Not in search
"Broadleaf, Inc.",54500F1
International Construction Inc.,207135D1
"Hui Huliau Technology Services, LLC",194489C5
RRC Consulting Group,42429F1
Information Technology Services,Expired
"Ho`olaulima Government Solutions, LLC",112375C6
"The Hana Group, Inc.",99386D1
"HBC Management Services, Inc.",210801D1
"Hana Industries, Inc.",210297D1
"JTSI, Inc.",125396D1
Total Network Solutions LLC,8561C5
Kai Honua LLC,92962C5
"KFS, LLC",Not in search
Na Alii Consulting & Sales LLC,88657C5
"TMGE, LLC",67998C5
Greenpath Technologies Inc.,219926D1
"Alu Like Enterprises, Inc.",209662D1
Honu`apo Facilities Services LLC,22875C5
Honu`apo I LLC,50258C5
Hawaii Resource Group LLC,33951C5
Hawaii 5-O Technology Services,Not in search
Kokua Support Services Corporation,Not in search
